11.6686913102
         52052 function calls (50051 primitive calls) in 2.817 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.001    0.000    2.845    0.711 __init__.py:1(<module>)
    118/1    0.004    0.000    2.817    2.817 {built-in method builtins.exec}
        1    0.000    0.000    2.817    2.817 cprof_example.py:1(<module>)
    141/1    0.002    0.000    1.942    1.942 <frozen importlib._bootstrap>:958(_find_and_load)
    141/1    0.001    0.000    1.942    1.942 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
    131/1    0.001    0.000    1.929    1.929 <frozen importlib._bootstrap>:641(_load_unlocked)
    112/1    0.001    0.000    1.928    1.928 <frozen importlib._bootstrap_external>:672(exec_module)
    186/1    0.000    0.000    1.923    1.923 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
        1    0.000    0.000    1.923    1.923 __init__.py:106(<module>)
   723/28    0.001    0.000    1.862    0.066 <frozen importlib._bootstrap>:989(_handle_fromlist)
    309/6    0.000    0.000    1.862    0.310 {built-in method builtins.__import__}
        1    0.000    0.000    1.552    1.552 add_newdocs.py:10(<module>)
        1    0.000    0.000    1.214    1.214 type_check.py:3(<module>)
      547    0.001    0.000    1.105    0.002 <frozen importlib._bootstrap_external>:75(_path_stat)
      547    1.103    0.002    1.103    0.002 {built-in method nt.stat}
      136    0.003    0.000    0.973    0.007 <frozen importlib._bootstrap>:861(_find_spec)
      127    0.000    0.000    0.958    0.008 <frozen importlib._bootstrap_external>:1149(find_spec)
      127    0.002    0.000    0.958    0.008 <frozen importlib._bootstrap_external>:1117(_get_spec)
      272    0.008    0.000    0.905    0.003 <frozen importlib._bootstrap_external>:1233(find_spec)
        1    0.002    0.002    0.875    0.875 cprof_example.py:4(run_experiment)
      100    0.803    0.008    0.818    0.008 linalg.py:832(eigvals)
        1    0.000    0.000    0.737    0.737 __init__.py:7(<module>)
      112    0.003    0.000    0.728    0.007 <frozen importlib._bootstrap_external>:743(get_code)
      112    0.463    0.004    0.470    0.004 <frozen importlib._bootstrap_external>:830(get_data)
        2    0.000    0.000    0.402    0.201 __init__.py:45(<module>)
        1    0.000    0.000    0.381    0.381 decorators.py:15(<module>)
        1    0.000    0.000    0.371    0.371 utils.py:4(<module>)
      163    0.001    0.000    0.295    0.002 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      150    0.000    0.000    0.271    0.002 <frozen importlib._bootstrap_external>:94(_path_isfile)
        1    0.000    0.000    0.226    0.226 shutil.py:5(<module>)
      112    0.001    0.000    0.219    0.002 <frozen importlib._bootstrap_external>:840(path_stats)
  131/129    0.000    0.000    0.211    0.002 <frozen importlib._bootstrap>:553(module_from_spec)
       10    0.000    0.000    0.201    0.020 <frozen importlib._bootstrap_external>:919(create_module)
       10    0.172    0.017    0.201    0.020 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.116    0.116 _internal.py:6(<module>)
        1    0.000    0.000    0.106    0.106 case.py:1(<module>)
        1    0.000    0.000    0.100    0.100 numeric.py:1(<module>)
        1    0.000    0.000    0.093    0.093 polynomial.py:4(<module>)
        1    0.000    0.000    0.088    0.088 __init__.py:15(<module>)
        1    0.000    0.000    0.082    0.082 tempfile.py:24(<module>)
        1    0.000    0.000    0.072    0.072 result.py:1(<module>)
        1    0.000    0.000    0.062    0.062 index_tricks.py:1(<module>)
        1    0.000    0.000    0.057    0.057 main.py:1(<module>)
      100    0.054    0.001    0.054    0.001 {method 'randn' of 'mtrand.RandomState' objects}
      316    0.001    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
        1    0.000    0.000    0.051    0.051 random.py:38(<module>)
       13    0.024    0.002    0.050    0.004 <frozen importlib._bootstrap_external>:1067(_path_hooks)
        1    0.000    0.000    0.047    0.047 traceback.py:1(<module>)
        1    0.000    0.000    0.046    0.046 bz2.py:5(<module>)
        1    0.000    0.000    0.040    0.040 tarfile.py:30(<module>)
        1    0.000    0.000    0.036    0.036 __init__.py:24(<module>)
        1    0.000    0.000    0.035    0.035 arrayprint.py:5(<module>)
        1    0.000    0.000    0.035    0.035 pickle.py:24(<module>)
        1    0.000    0.000    0.034    0.034 __init__.py:88(<module>)
        1    0.000    0.000    0.033    0.033 linalg.py:10(<module>)
        1    0.000    0.000    0.032    0.032 linecache.py:6(<module>)
        1    0.000    0.000    0.031    0.031 npyio.py:1(<module>)
        1    0.000    0.000    0.031    0.031 loader.py:1(<module>)
        1    0.000    0.000    0.031    0.031 __init__.py:41(<module>)
      112    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      112    0.027    0.000    0.027    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.026    0.026 runner.py:1(<module>)
       13    0.000    0.000    0.026    0.002 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
       13    0.000    0.000    0.025    0.002 <frozen importlib._bootstrap_external>:99(_path_isdir)
        1    0.000    0.000    0.025    0.025 __init__.py:10(<module>)
       13    0.001    0.000    0.024    0.002 <frozen importlib._bootstrap_external>:1281(_fill_cache)
       13    0.023    0.002    0.023    0.002 {built-in method nt.listdir}
        1    0.000    0.000    0.020    0.020 polynomial.py:55(<module>)
        1    0.000    0.000    0.020    0.020 hashlib.py:54(<module>)
        1    0.000    0.000    0.020    0.020 lzma.py:9(<module>)
        1    0.000    0.000    0.017    0.017 tokenize.py:21(<module>)
        1    0.000    0.000    0.017    0.017 numerictypes.py:82(<module>)
        1    0.000    0.000    0.016    0.016 signals.py:1(<module>)
  288/286    0.009    0.000    0.016    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.016    0.016 fftpack.py:32(<module>)
        1    0.000    0.000    0.015    0.015 fnmatch.py:11(<module>)
        1    0.000    0.000    0.015    0.015 __init__.py:3(<module>)
        1    0.000    0.000    0.015    0.015 fromnumeric.py:3(<module>)
      127    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:626(find_spec)
